"","Course.Identifier","College","Department","Merged","Subject.Code","Catalog.Number","Course.Description","Course.Level","Total.Student.Count","D_GRADE_COUNT","FAIL_GRADE_COUNT","WITHDRAW_GRADE_COUNT","DEW_COUNT","PASS_GRADE_COUNT","WITHDRAW_FULLMED_GRADE_COUNT","INCOMPLETE_UNGRADED_COUNT","TERM_LD","ACAD_YR_SID","Percent.D.Grade","Percent.E.Grade","Percent.W.Grade","Percent.DEW","Percent.Passed","Per.Full..Medical.Withdrawal","Per.Ungraded..Incomplete","P.F.Opt","Units","Mode","Class..","Sections","Total.Enroll","Max.Enroll","Rm.Cap","Early_Morning","Mid_Morning","Early_Afternoon","Mid_Afternoon","Evening","Asynchronous","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Laboratory","Lecture","Colloquim","Seminar","Workshop","Discussion","Studio","Practicum","In_Person","Full_Online","IntractTV","Hybrid","Live_Online","Reg_Session","First_Half_Session","Second_Half_Session","First_Third_Session","Second_Third_Session","Third_Third_Session","Ten_Week","Thirteen_Week","Other","College_Number"
"11","Fall 2019_ACBS_315L","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_315L","ACBS","315L","Psio of Reproduction Lab","Upper Division",17,0,0,1,1,16,0,0,"Fall 2019",2020,0,0,5.9,5.9,94.1,0,0,"",1,"In Person",41058,1,17,30,40,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"12","Fall 2019_ACBS_315R","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_315R","ACBS","315R","Psio of Reproduction","Upper Division",42,10,0,4,14,28,0,0,"Fall 2019",2020,23.8,0,9.5,33.3,66.7,0,0,"",3,"In Person",41059,1,42,47,44,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"13","Fall 2019_ACBS_329A","College of Agric and Life Sci","Plant Pathology","ACBS_329A","ACBS","329A","Microbial Diversity","Upper Division",15,1,1,1,3,11,1,0,"Fall 2019",2020,6.7,6.7,6.7,20,73.3,6.7,0,"",3,"FullOnline",52890,1,10,120,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"14","Fall 2019_ACBS_342","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_342","ACBS","342","Org+Adm Racing Dept","Upper Division",7,0,0,0,0,7,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",50089,1,7,20,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"15","Fall 2019_ACBS_355","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_355","ACBS","355","Intro to Food Proc& Food Safet","Upper Division",6,0,0,0,0,6,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",68302,1,6,30,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"16","Fall 2019_ACBS_371","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_371","ACBS","371","Sale+Mkt Str Prf+Rc Hors","Upper Division",10,0,0,0,0,10,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",66774,2,20,20,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"17","Fall 2019_ACBS_377","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_377","ACBS","377","Food Toxicology","Upper Division",13,0,0,0,0,13,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"FullOnline",62911,1,13,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"18","Fall 2019_ACBS_380L","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_380L","ACBS","380L","Food Safety and Micro Lab","Upper Division",14,0,0,0,0,14,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",1,"In Person",66077,1,14,24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"19","Fall 2019_ACBS_380R","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_380R","ACBS","380R","Food Safety and Microbiology","Upper Division",20,0,0,0,0,19,1,0,"Fall 2019",2020,0,0,0,0,95,5,0,"",3,"FullOnline",67386,1,7,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"20","Fall 2019_ACBS_380R","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_380R","ACBS","380R","Food Safety and Microbiology","Upper Division",20,0,0,0,0,19,1,0,"Fall 2019",2020,0,0,0,0,95,5,0,"",3,"In Person",62865,1,13,45,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"21","Fall 2019_ACBS_400A","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_400A","ACBS","400A","Anml Anatomy+Physiology","Upper Division",111,3,2,0,5,106,0,0,"Fall 2019",2020,2.7,1.8,0,4.5,95.5,0,0,"",3,"In Person",38054,1,111,110,130,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"22","Fall 2019_ACBS_410","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_410","ACBS","410","Animal Toxicology","Upper Division",30,1,0,0,1,29,0,0,"Fall 2019",2020,3.3,0,0,3.3,96.7,0,0,"",3,"In Person",54218,1,30,30,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"23","Fall 2019_ACBS_419","College of Agric and Life Sci","Vet Science & Microbiology","ACBS_419","ACBS","419","Immunology","Upper Division",86,1,1,0,2,83,1,0,"Fall 2019",2020,1.2,1.2,0,2.3,96.5,1.2,0,"",4,"In Person",49919,1,86,100,264,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"24","Fall 2019_ACBS_427R","College of Agric and Life Sci","Plant Pathology","ACBS_427R","ACBS","427R","General Mycology","Upper Division",12,0,0,0,0,12,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"FullOnline",52893,1,10,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"25","Fall 2019_ACBS_431","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_431","ACBS","431","Equine Nutrition+Mgmt","Upper Division",43,0,0,0,0,43,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",54513,1,43,48,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"26","Fall 2019_ACBS_437","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_437","ACBS","437","Food Safety Laws and Legal Pol","Upper Division",20,0,0,1,1,19,0,0,"Fall 2019",2020,0,0,5,5,95,0,0,"",3,"In Person",66079,1,20,21,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"27","Fall 2019_ACBS_444","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_444","ACBS","444","Dev+Mgmt Racing Animal","Upper Division",12,2,0,0,2,10,0,0,"Fall 2019",2020,16.7,0,0,16.7,83.3,0,0,"",3,"In Person",25726,1,12,30,38,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"28","Fall 2019_ACBS_447","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_447","ACBS","447","Legal Envrnmnt/Business","Upper Division",60,0,2,0,2,58,0,0,"Fall 2019",2020,0,3.3,0,3.3,96.7,0,0,"",3,"FullOnline",58270,1,60,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"29","Fall 2019_ACBS_449","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_449","ACBS","449","Diseases of Wildlife","Upper Division",69,4,0,0,4,64,1,0,"Fall 2019",2020,5.8,0,0,5.8,92.8,1.4,0,"",3,"In Person",40800,1,69,70,70,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"30","Fall 2019_ACBS_475","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_475","ACBS","475","Equine Enterprises","Upper Division",6,0,0,0,0,6,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",54227,1,6,20,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"31","Fall 2019_ACBS_481","College of Agric and Life Sci","Animal&Biomedical Sciences-Ins","ACBS_481","ACBS","481","App Companion Ani Behavior","Upper Division",12,1,1,0,2,10,0,0,"Fall 2019",2020,8.3,8.3,0,16.7,83.3,0,0,"",3,"In Person",62382,1,12,20,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"32","Fall 2019_ACCT_200","Eller College of Management","School of Accountancy","ACCT_200","ACCT","200","Intro to Financial Acct","Lower Division",1035,132,82,148,362,659,14,0,"Fall 2019",2020,12.8,7.9,14.3,35,63.7,1.4,0,"",3,"In Person",171254,5,1004,0,1158,2,0,1,2,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,2
"33","Fall 2019_ACCT_200","Eller College of Management","School of Accountancy","ACCT_200","ACCT","200","Intro to Financial Acct","Lower Division",1035,132,82,148,362,659,14,0,"Fall 2019",2020,12.8,7.9,14.3,35,63.7,1.4,0,"",3,"FullOnline",57921,1,31,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
"34","Fall 2019_ACCT_210","Eller College of Management","School of Accountancy","ACCT_210","ACCT","210","Intro to Managerial Acct","Lower Division",399,86,29,14,129,265,5,0,"Fall 2019",2020,21.6,7.3,3.5,32.3,66.4,1.3,0,"",3,"In Person",51243,2,378,0,483,0,1,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"35","Fall 2019_ACCT_210","Eller College of Management","School of Accountancy","ACCT_210","ACCT","210","Intro to Managerial Acct","Lower Division",399,86,29,14,129,265,5,0,"Fall 2019",2020,21.6,7.3,3.5,32.3,66.4,1.3,0,"",3,"FullOnline",60438,1,21,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"36","Fall 2019_ACCT_250","Eller College of Management","School of Accountancy","ACCT_250","ACCT","250","Survey of Accounting","Lower Division",215,35,32,10,77,134,4,0,"Fall 2019",2020,16.3,14.9,4.7,35.8,62.3,1.9,0,"",3,"In Person",43868,1,215,200,240,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"37","Fall 2019_ACCT_310","Eller College of Management","School of Accountancy","ACCT_310","ACCT","310","Cost + Managerial Acct","Upper Division",56,1,0,0,1,53,2,0,"Fall 2019",2020,1.8,0,0,1.8,94.6,3.6,0,"Y",3,"In Person",77304,2,56,78,80,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"38","Fall 2019_ACCT_400A","Eller College of Management","School of Accountancy","ACCT_400A","ACCT","400A","Inter Financial Acct","Upper Division",98,7,0,2,9,88,1,0,"Fall 2019",2020,7.1,0,2,9.2,89.8,1,0,"Y",3,"In Person",51257,2,98,112,130,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"39","Fall 2019_ACCT_400B","Eller College of Management","School of Accountancy","ACCT_400B","ACCT","400B","Inter Financial Acct I","Upper Division",90,2,2,2,6,84,0,0,"Fall 2019",2020,2.2,2.2,2.2,6.7,93.3,0,0,"Y",3,"In Person",51261,2,90,100,116,0,1,0,1,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"40","Fall 2019_ACCT_400C","Eller College of Management","School of Accountancy","ACCT_400C","ACCT","400C","Inter Financial Acct","Upper Division",102,4,1,3,8,94,0,0,"Fall 2019",2020,3.9,1,2.9,7.8,92.2,0,0,"",3,"In Person",51265,2,102,130,148,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"41","Fall 2019_ACCT_400E","Eller College of Management","School of Accountancy","ACCT_400E","ACCT","400E","Intermed Acct - Bus Admin Maj","Upper Division",35,4,1,0,5,30,0,0,"Fall 2019",2020,11.4,2.9,0,14.3,85.7,0,0,"",3,"FullOnline",66147,1,35,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
"42","Fall 2019_ACCT_420","Eller College of Management","School of Accountancy","ACCT_420","ACCT","420","Principles of Federal Taxation","Upper Division",96,7,3,2,12,82,2,0,"Fall 2019",2020,7.3,3.1,2.1,12.5,85.4,2.1,0,"",3,"In Person",117513,3,96,120,134,1,1,1,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2
"43","Fall 2019_ACCT_430","Eller College of Management","School of Accountancy","ACCT_430","ACCT","430","Inf Qlt Assur:Mgmt Persp","Upper Division",61,0,0,0,0,60,1,0,"Fall 2019",2020,0,0,0,0,98.4,1.6,0,"",3,"In Person",51273,2,61,78,80,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"44","Fall 2019_ACCT_451","Eller College of Management","School of Accountancy","ACCT_451","ACCT","451","Analysis Fin Statement","Upper Division",47,0,1,0,1,44,2,0,"Fall 2019",2020,0,2.1,0,2.1,93.6,4.3,0,"",3,"In Person",25638,1,47,54,54,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"45","Fall 2019_ACCT_461","Eller College of Management","School of Accountancy","ACCT_461","ACCT","461","Accounting Info Systems","Upper Division",97,3,1,0,4,92,1,0,"Fall 2019",2020,3.1,1,0,4.1,94.8,1,0,"",3,"In Person",51279,2,97,94,117,0,0,1,1,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"46","Fall 2019_ACCT_472A","Eller College of Management","School of Accountancy","ACCT_472A","ACCT","472A","Acct Not-For-Profit Ents","Upper Division",31,0,2,1,3,27,1,0,"Fall 2019",2020,0,6.5,3.2,9.7,87.1,3.2,0,"",3,"In Person",25641,1,31,38,58,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"47","Fall 2019_AED_150A1","College of Agric and Life Sci","Agricultural Education","AED_150A1","AED","150A1","Learn to Teach to Learn","Lower Division",89,2,3,3,8,81,0,0,"Fall 2019",2020,2.2,3.4,3.4,9,91,0,0,"",3,"FullOnline",130463,2,64,80,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
"48","Fall 2019_AED_150A1","College of Agric and Life Sci","Agricultural Education","AED_150A1","AED","150A1","Learn to Teach to Learn","Lower Division",89,2,3,3,8,81,0,0,"Fall 2019",2020,2.2,3.4,3.4,9,91,0,0,"",3,"In Person",58130,1,25,24,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"49","Fall 2019_AED_150C1","College of Agric and Life Sci","Agricultural Education","AED_150C1","AED","150C1","Ag & Life Sciences Literacy","Lower Division",30,0,3,0,3,27,0,0,"Fall 2019",2020,0,10,0,10,90,0,0,"",3,"In Person",65313,1,30,30,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"50","Fall 2019_AED_195A","College of Agric and Life Sci","Agricultural Education","AED_195A","AED","195A","Freshman Colloquium","Lower Division",14,1,0,0,1,12,1,0,"Fall 2019",2020,7.1,0,0,7.1,85.7,7.1,0,"",1,"In Person",50184,1,14,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"51","Fall 2019_AED_195B","College of Agric and Life Sci","Agricultural Education","AED_195B","AED","195B","Professional Resiliency","Lower Division",7,0,1,4,5,2,0,0,"Fall 2019",2020,0,14.3,57.1,71.4,28.6,0,0,"",1,"FullOnline",67929,1,7,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"52","Fall 2019_AED_210","College of Agric and Life Sci","Agricultural Education","AED_210","AED","210","Resiliency+Human Potentl","Lower Division",21,1,0,1,2,18,1,0,"Fall 2019",2020,4.8,0,4.8,9.5,85.7,4.8,0,"",3,"In Person",58113,1,21,24,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"53","Fall 2019_AED_295B","College of Agric and Life Sci","Agricultural Education","AED_295B","AED","295B","Heritage+Trad Univ of Az","Lower Division",109,6,8,4,18,90,1,0,"Fall 2019",2020,5.5,7.3,3.7,16.5,82.6,0.9,0,"",2,"In Person",39017,1,109,142,130,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"54","Fall 2019_AED_301","College of Agric and Life Sci","Agricultural Education","AED_301","AED","301","Youth Leadership Dev","Upper Division",71,2,1,0,3,67,1,0,"Fall 2019",2020,2.8,1.4,0,4.2,94.4,1.4,0,"",3,"In Person",25008,1,71,113,150,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"55","Fall 2019_AED_311","College of Agric and Life Sci","Agricultural Education","AED_311","AED","311","Prof. Leadership Concepts","Upper Division",6,0,0,1,1,5,0,0,"Fall 2019",2020,0,0,16.7,16.7,83.3,0,0,"",3,"FullOnline",68652,1,6,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"56","Fall 2019_AED_438","College of Agric and Life Sci","Agricultural Education","AED_438","AED","438","Teach Second Schl Ag Sci","Upper Division",6,0,0,0,0,6,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",25019,1,6,19,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"57","Fall 2019_AED_496D","College of Agric and Life Sci","Agricultural Education","AED_496D","AED","496D","Tchng Sci+Math/Inquiry","Upper Division",8,0,0,0,0,8,0,0,"Fall 2019",2020,0,0,0,0,100,0,0,"",3,"In Person",58166,1,8,15,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"58","Fall 2019_AFAS_150B1","College of Humanities","Africana Studies","AFAS_150B1","AFAS","150B1","Contemporary Afro Brazil","Lower Division",109,3,6,1,10,95,4,0,"Fall 2019",2020,2.8,5.5,0.9,9.2,87.2,3.7,0,"",3,"In Person",56249,1,109,113,236,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"59","Fall 2019_AFAS_160A1","College of Humanities","Africana Studies","AFAS_160A1","AFAS","160A1","The Africana Experience","Lower Division",384,22,53,32,107,265,12,0,"Fall 2019",2020,5.7,13.8,8.3,27.9,69,3.1,0,"",3,"In Person",52764,1,123,267,575,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"60","Fall 2019_AFAS_160A1","College of Humanities","Africana Studies","AFAS_160A1","AFAS","160A1","The Africana Experience","Lower Division",384,22,53,32,107,265,12,0,"Fall 2019",2020,5.7,13.8,8.3,27.9,69,3.1,0,"",3,"FullOnline",174535,3,261,290,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,3
